model,task,dataset,auc_mean,auc_ci95,eer_mean,eer_ci95,f1_mean,f1_ci95
lipforensics,video,lavdf,0.5018632622030399,0.0,0.498850893202921,0.0,0.6112775487200783,0.0
ftcn,video,lavdf,0.48355830525732735,0.0,0.5124519075790746,0.0,0.605253004896869,0.0
realforensics,video,lavdf,0.5132262802916268,0.0,0.4902295657941593,0.0,0.6588217157832532,0.0
