model,task,dataset,auc_mean,auc_ci95,eer_mean,eer_ci95,f1_mean,f1_ci95
xceptionnet,image,celebdf_v2,0.4923244382022472,0.0,0.5044530733641771,0.0,0.6403430937592428,0.0
f3net,image,celebdf_v2,0.4822685062789161,0.0,0.5280155320555189,0.0,0.7659259259259259,0.0
universalfakedetect,image,celebdf_v2,0.6501774619960343,0.0,0.3893688037012558,0.0,0.026697620429483458,0.0
mat,image,celebdf_v2,0.5221486285525445,0.0,0.4864937210839392,0.0,0.683388275763222,0.0
sbi,image,celebdf_v2,0.5032648711169861,0.0,0.4971926635822868,0.0,0.7749032882011605,0.0
