model,task,dataset,auc_mean,auc_ci95,eer_mean,eer_ci95,f1_mean,f1_ci95
lipforensics,video,ffpp_c23,0.4995071128030455,0.0,0.5031656982568623,0.0,0.6732824427480916,0.0
ftcn,video,ffpp_c23,0.5195231416549789,0.0,0.4899779603285915,0.0,0.8223086900129701,0.0
realforensics,video,ffpp_c23,0.5047285113203767,0.0,0.5057463434181526,0.0,0.9059029807130333,0.0
