model,task,dataset,auc_mean,auc_ci95,eer_mean,eer_ci95,f1_mean,f1_ci95
xceptionnet,image,ffpp_c23,0.5542985204081633,0.0,0.4715,0.0,0.8410880458124552,0.0
f3net,image,ffpp_c23,0.5560043877551021,0.0,0.4635714285714285,0.0,0.8871369853783437,0.0
universalfakedetect,image,ffpp_c23,0.5888339795918367,0.0,0.44871428571428573,0.0,0.09259259259259259,0.0
mat,image,ffpp_c23,0.5554657653061225,0.0,0.4662857142857143,0.0,0.779961464354528,0.0
sbi,image,ffpp_c23,0.5054046938775509,0.0,0.4957142857142857,0.0,0.8683561643835617,0.0
